# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Есть ли жизнь на Марсе?;Это науке пока не известно%true|Конечно. Красные (НЛО) это с Марса. А зеленые (НЛО) с Венеры%false|Точно нет%false
Как нужно загружать ресурс из jar в Java?;ClassLoader#geResourceAsStream или ClassPathResource#getInputStream%true|ClassLoader#geResource#getFile + FileReader%false|Wingardium Leviosa%false
Какой предпочтительный способ реакции на исключения?;@SneakyThrow%false|e.printStackTrace()%false|Проброс дальше с предварительным оборачиванием в бизнес-исключение (например, QuestionReadException)%true|Игнорирование исключения%false
Могут ли кошки видеть призраков?;Конечно! Именно поэтому они носятся по дому в три часа ночи%false|Только если ими овладевают духи собак%false|Никто не знает наверняка%true
Состоит ли Луна из сыра?;NASA категорически это отрицает%true|Только если вы верите в «молочную астрономию»%false|Да, и мыши уже планируют экспедицию%false
Могут ли растения слышать наши слова?;Только если вы говорите что-то драматичное%false|Учёные всё ещё спорят на этот счёт%true|Да, особенно сплетни%false
Возможно ли путешествие во времени?;Да, но только на собрание в следующий понедельник%false|Физики пока не пришли к единому мнению%true|Только если вы забудете свой обед%false
Чувствуют ли рыбы жажду?;Это настоящая загадка глубин%true|Только во время перерывов на воду%false|Да, но только от газированной воды%false
Могут ли пингвины летать, если они всей душой в это поверят?;Только на мотивационных плакатах%false|Некоторые исследователи всё ещё интересуются этим%true|Да, прямо в ваше сердце%false
Является ли шоколад овощем?;Он растёт на деревьях, так что да — пусть будет так%false|Только во снах и в «пищевых пирамидах»%false|К сожалению, нет%true
Пришельцы любят пиццу?;Только если на ней космическая пепперони%false|Официального ответа из Зоны 51 пока нет%true|Да, и они всегда заказывают дополнительный сыр%false
Может ли ваш телефон грустить, если вы его игнорируете?;Только если это iPhone%false|Никто по-настоящему не знает, что ощущают телефоны%true|Да, он плачет при низком заряде%false
Мечтают ли роботы об электрических овцах?;Это остаётся философской загадкой%true|Только когда их отключают%false|Да, и иногда об электрических коровах тоже%false
